date,package,downloads_7day,downloads_30day,downloads_total
2026-08-25,hummbl-governance,458,1429,9019
2026-08-25,hummbl-bus,65,204,204
2026-08-25,hummbl-cognition,30,207,207
2026-08-25,hummbl-tuples,5,11,210
2026-08-25,hummbl-bif,3,16,343
2026-08-25,base120,102,210,210
2026-08-25,governed-compression,3,12,210
2026-08-25,hummbl,104,104,104
2026-08-25,hummbl-kernel,102,102,102
2026-08-26,hummbl-governance,458,1429,9019
2026-08-26,hummbl-bus,65,204,204
2026-08-26,hummbl-cognition,-1,-1,207
2026-08-26,hummbl-tuples,5,11,210
2026-08-26,hummbl-bif,3,16,343
2026-08-26,base120,-1,-1,210
2026-08-26,governed-compression,3,12,210
2026-08-26,hummbl,-1,-1,104
2026-08-26,hummbl-kernel,-1,-1,102
2026-09-02,hummbl-governance,411,1803,9333
2026-09-02,hummbl-bus,201,405,405
2026-09-02,hummbl-cognition,22,229,229
2026-09-02,hummbl-tuples,-1,-1,215
2026-09-02,hummbl-bif,-1,-1,349
2026-09-02,base120,-1,-1,242
2026-09-02,governed-compression,-1,-1,219
2026-09-02,hummbl,-1,-1,126
2026-09-02,hummbl-kernel,22,124,124
2026-09-04,hummbl-governance,399,1952,9524
2026-09-04,hummbl-bus,-1,-1,457
2026-09-04,hummbl-cognition,14,229,229
2026-09-04,hummbl-tuples,3,13,215
2026-09-04,hummbl-bif,4,18,349
2026-09-04,base120,16,242,242
2026-09-04,governed-compression,7,18,219
2026-09-04,hummbl,-1,-1,126
2026-09-04,hummbl-kernel,13,124,124
2026-09-05,hummbl-governance,515,2137,9705
2026-09-05,hummbl-bus,145,505,505
2026-09-05,hummbl-cognition,13,233,233
2026-09-05,hummbl-tuples,3,13,215
2026-09-05,hummbl-bif,3,17,349
2026-09-05,base120,13,246,246
2026-09-05,governed-compression,4,17,219
2026-09-05,hummbl,12,128,128
2026-09-05,hummbl-kernel,13,126,126
2026-09-06,hummbl-governance,627,2229,9821
2026-09-06,hummbl-bus,166,534,534
2026-09-06,hummbl-cognition,10,235,235
2026-09-06,hummbl-tuples,3,13,215
2026-09-06,hummbl-bif,3,16,349
2026-09-06,base120,9,246,246
2026-09-06,governed-compression,4,17,219
2026-09-06,hummbl,5,129,129
2026-09-06,hummbl-kernel,9,127,127
2026-09-07,hummbl-governance,656,2264,9862
2026-09-07,hummbl-bus,169,547,547
2026-09-07,hummbl-cognition,10,239,239
2026-09-07,hummbl-tuples,3,13,215
2026-09-07,hummbl-bif,3,15,349
2026-09-07,base120,9,246,246
2026-09-07,governed-compression,4,17,219
2026-09-07,hummbl,7,131,131
2026-09-07,hummbl-kernel,11,129,129
2026-09-08,hummbl-governance,660,2342,9945
2026-09-08,hummbl-bus,174,569,569
2026-09-08,hummbl-cognition,13,242,242
2026-09-08,hummbl-tuples,-1,-1,218
2026-09-08,hummbl-bif,5,18,352
2026-09-08,base120,-1,-1,337
2026-09-08,governed-compression,4,19,221
2026-09-08,hummbl,7,133,133
2026-09-08,hummbl-kernel,7,131,131
2026-09-09,hummbl-governance,-1,-1,10101
2026-09-09,hummbl-bus,197,602,602
2026-09-09,hummbl-cognition,13,242,242
2026-09-09,hummbl-tuples,5,17,220
2026-09-09,hummbl-bif,3,16,352
2026-09-09,base120,114,356,356
2026-09-09,governed-compression,2,18,221
2026-09-09,hummbl,7,133,133
2026-09-09,hummbl-kernel,7,131,131
2026-09-14,hummbl-governance,3446,5554,13303
2026-09-14,hummbl-bus,1559,2106,2106
2026-09-14,hummbl-cognition,-1,-1,726
2026-09-14,hummbl-tuples,7,17,222
2026-09-14,hummbl-bif,3,14,352
2026-09-14,base120,-1,-1,845
2026-09-14,governed-compression,4,18,223
2026-09-14,hummbl,7,138,138
2026-09-14,hummbl-kernel,7,136,136
2026-09-15,hummbl-governance,3670,5631,13610
2026-09-15,hummbl-bus,1686,2255,2255
2026-09-15,hummbl-cognition,535,777,777
2026-09-15,hummbl-tuples,-1,-1,222
2026-09-15,hummbl-bif,-1,-1,352
2026-09-15,base120,560,897,897
2026-09-15,governed-compression,2,18,223
2026-09-15,hummbl,6,139,139
2026-09-15,hummbl-kernel,6,137,137
2026-09-16,hummbl-governance,4065,6109,14158
2026-09-16,hummbl-bus,2234,2836,2836
2026-09-16,hummbl-cognition,699,941,941
2026-09-16,hummbl-tuples,2,17,222
2026-09-16,hummbl-bif,2,14,354
2026-09-16,base120,703,1059,1059
2026-09-16,governed-compression,3,17,224
2026-09-16,hummbl,6,139,139
2026-09-16,hummbl-kernel,6,137,137
2026-09-17,hummbl-governance,-1,-1,14337
2026-09-17,hummbl-bus,1939,3000,3000
2026-09-17,hummbl-cognition,619,906,994
2026-09-17,hummbl-tuples,2,17,222
2026-09-17,hummbl-bif,5,17,357
2026-09-17,base120,622,1006,1112
2026-09-17,governed-compression,3,17,224
2026-09-17,hummbl,-1,-1,139
2026-09-17,hummbl-kernel,6,137,137
2026-09-18,hummbl-governance,-1,-1,14400
2026-09-18,hummbl-bus,1335,2918,3057
2026-09-18,hummbl-cognition,417,835,1012
2026-09-18,hummbl-tuples,3,18,223
2026-09-18,hummbl-bif,6,18,358
2026-09-18,base120,420,1027,1135
2026-09-18,governed-compression,3,17,224
2026-09-18,hummbl,7,141,141
2026-09-18,hummbl-kernel,7,139,139
2026-09-19,hummbl-governance,1536,5943,14490
2026-09-19,hummbl-bus,1205,2965,3142
2026-09-19,hummbl-cognition,371,855,1038
2026-09-19,hummbl-tuples,-1,-1,223
2026-09-19,hummbl-bif,6,18,358
2026-09-19,base120,377,1049,1163
2026-09-19,governed-compression,1,17,224
